"No","受付日時","顧客会社名","ProjectName","発生箇所","受付概要","受付詳細","対応詳細","原因","関連インシデントNo","インシデント分類","関連課題NO","課題","非公開"
"06651","2017/9/12","スミス","その他","その他","NFFメール送信サーバ（192.168.20.72）の/var配下でファイルシステム使用率増加","9/7以降、NFFメール送信サーバ（192.168.20.72）の/var配下でファイルシステム使用率が85%以上となっている。","postgresのデータ肥大化が原因。バキュームを行い、使用率が15%まで下がったことを確認。","","","","","","FALSE"
"06652","2017/9/13","ヒガインダストリーズ","原材料品質保証システム","調達品質情報(申請/フロー)","依頼連携取込み後の作業","依頼連携取込み後の作業を教えて欲しい。","メーカー申請をしていただき、メーカー申請済みタブに移動したことを確認。","仕様","","","","","FALSE"
"06653","2017/9/13","セイカイショクヒン","原材料品質保証システム","調達品質情報(申請/フロー)","Net提出後の操作","Net提出が完了したがその後どうすればいいか。","依頼連携取込～メーカー申請の手順を案内。正常に申請が完了したことを確認して対応完了。","","","","","","FALSE"
"06654","2017/9/13","ＪＦＳ","原材料品質保証システム","調達品質情報(申請/フロー)","引当しているベンダーを教えて欲しい","メーカーより問合せ。引当しているベンダーを教えて欲しい。",""商品：ＦＤ焼きとうもろこし　ベンダー：ファーストフーズ　登録日：20170525/20161219/20161205/20161128"","仕様","","","","","FALSE"
"06655","2017/9/13","関戸商事","原材料品質保証システム","食材事前情報(申請/フロー)","事前申請した原材料がどこにあるかわからない","事前メーカー申請をしたが、このあとネットで操作可能か。原材料の進捗がどこにあるかわからない。","全データタブで確認すると、開発DM承認済みとなっている。JFSの承認済みになると「ネット依頼前」に表示されるので、操作可能となる。","仕様","","","","","FALSE"
"06657","2017/9/14","ムラオ商事","原材料品質保証システム","ログイン","ログインできない","ログインすると、「他のユーザーがログインしています」と表示される。他の人はログインしていないはず。","ログイン中に×閉じしてしまったことが原因。90分経つとログイン可能となる。","仕様","","","","","FALSE"
"06660","2017/9/14","西海食品","原材料品質保証システム","調達品質情報","依頼連携取込後の操作について","依頼連携取込後をしたらそのあとは何をすればよいか。","メーカー申請をする。","仕様","","","","","FALSE"
"06661","2017/9/14","理研ビタミン","原材料品質保証システム","ログイン","ログイン後に画面が真っ白になる","ログイン後、食材をクリックすると、「IEの動作を停止しています」と表示され、画面下部が真っ白になる。その後しばらくすると画面が終了してしまい、90分間ログインできなくなってしまう。Win7、IE11使用。以前は使用できていたが、現在は使用できなくなってしまっており、他に使用可能なPCもないとのこと。",###############################################################################################################################################################################################################################################################,"環境","","","","","FALSE"
"06662","2017/9/15","関戸商事","原材料品質保証システム","調達品質情報","アドオンシートの出力方法","アドオンシートの出力方法はどうやるのか。","手順をご説明。","仕様","","","","","FALSE"
"06664","2017/9/19","ニッスイ","原材料品質保証システム","食材事前情報(編集/取消)","登録時にエラー","事前情報登録で、書類を添付し保存したところ、「IEを停止しています」というエラーになって動かなくなってしまう。","今までは問題なかったとのことだが、PCの設定変更などはしていないとのこと。初期設定がされていなかったため設定していただき、この状態で試してみてできないようなら、再度ご連絡いただくことになった。","仕様","","","","","FALSE"
"06665","2017/9/20","セディア","原材料品質保証システム","(編集/バージョンアップ/取消)","帳票出力で画面が閉じてしまう","アドオンシートを出力すると、インストールという画面が表示されてしばらくすると、勝手に画面が閉じてしまう。またその後ログインしようとすると、「他のユーザーがログインしています」とでてログインできない。Win10使用。","ログアウトせずに画面を閉じると90分間ログインできなくなるので、お待ちいただいてから再度ログインしていただく。初期設定が未設定のため設定していただくことと、管理者権限でActiveXをインストールする必要があることをご説明。また、Win10は推奨環境ではないことをご説明。","仕様","","","","","FALSE"
"06670","2017/9/21","ニチレイフレッシュ","原材料品質保証システム","食材事前情報(申請/フロー)","事前情報の申請について","事前情報登録で、工場レイアウトや製造工程図の添付を終わったところだが、この後なにをすればよいのか。","事前情報上での入力が完了したら、事前メーカー申請を行っていただく。その後開発DM、JFSの承認が済むと「ネット依頼前」に入ってくるので先の作業ができるようになる。","仕様","","","","","FALSE"
"06674","2017/9/22","イフジ産業","原材料品質保証システム","調達品質情報","バージョンアップの方法","バージョンアップの方法を教えてほしい。","手順を案内。","","","","","","FALSE"
"06677","2017/9/22","ニチレイフレッシュ","原材料品質保証システム","食材事前情報(申請/フロー)","事前申請した原材料の承認がどこまで進んだか知りたい","事前申請した原材料の承認がどこまで進んだか知りたい。","「全データ」タブで原材料検索をし、右へスクロールすると進捗が確認できる。","仕様","","","","","FALSE"
"06678","2017/9/25","JFS","原材料品質保証システム","調達品質情報","取消日を削除する場合","原材料の取消日を削除するためにバージョンアップをしてもらうが、フローは調達と品質どちらになるか。","調達のフローになる。","","","","","","FALSE"
"06679","2017/9/26","高梨販売","原材料品質保証システム","(編集/バージョンアップ/取消)","バージョンアップのやり方","バージョンアップのやり方を教えてほしい。","手順をご説明。","仕様","","","","","FALSE"
"06680","2017/9/26","高梨販売","原材料品質保証システム","(編集/バージョンアップ/取消)","メーカー申請でエラー","メーカー申請時に「別バージョンのアドオンシートが添付されている」というエラーになる。","バージョンアップしたときは、メルクリウス上でアドオンシートを出力しなおして添付する必要がある。","仕様","","","","","FALSE"
"06683","2017/9/26","ファミリーマート","需要予測支援システム","","バッチログが異常終了",""下記バッチログが異常終了。ジョブ：処理日更新(VegaND01_00_01)エラーメッセージ：HOME が設定されていません"",""原因：需要DBサーバのhinemos_agent.cfgにBATCHPATHの環境変数を記載していなかった。対応：hinemos_agent.cfgに下記を追記export BATCH_PATH=/opt/Vend/Bin/"","障害","","","","","FALSE"
"06688","2017/10/2","フンドーキン醤油","原材料品質保証システム","調達品質情報(申請/フロー)","原材料の進捗について","バージョンアップをし、メーカー申請までしたが「メーカー未申請」タブに戻ってきている。今現在該当原材料はどのような状態にあるのか。","ネットまで差戻しされている状態。修正し、再度フローを進めていただく。","仕様","","","","","FALSE"
"06689","2017/10/2","伊藤ハム","原材料品質保証システム","調達品質情報","禁止文字エラー","依頼連携取込時に禁止文字エラーが発生する。","原料規格書、アドオンシート内に禁止文字エラーがあるため。「%」が入っているので、全角に直していただき、取込できるか確認していただく。それでもエラーになる場合は、再度ご連絡いただくことになった。","仕様","","","","","FALSE"
"06690","2017/10/2","関戸商事","原材料品質保証システム","(編集/バージョンアップ/取消)","書類を追加添付したい","書類を追加添付したいが、どのようにやればよいか。","承認済みの原材料とのことなので、バージョンアップの手順をご説明。","仕様","","","","","FALSE"
"06693","2017/10/2","サンキョーヒカリ","原材料品質保証システム","(編集/バージョンアップ/取消)","メーカー申請時にエラー","メーカー申請時に「変更実施発注開始日を入力してください。別バージョンのアドオン帳票が添付されています。当バージョンで出力したアドオン帳票を添付してください。」というエラーが発生する。","バージョンアップ時は、アドオンシートを出力しなおし、変更実施発注開始日を入力して、ネットで差し替える必要がある。","","","","","","FALSE"
"06694","2017/10/2","グローバルチーズ","原材料品質保証システム","その他","登録の依頼があるか確認してほしい","登録予定の商品があるが、先に帳票を出力することはできるか。また、登録の依頼がきているか調べて欲しい。","未登録の商品の帳票を先に出力することはできない。登録の依頼についてはJFSにお問合せいただく。","ユーザー業務","","","","","FALSE"
"06696","2017/10/2","グローバルチーズ","原材料品質保証システム","食材事前情報(申請/フロー)","帳票出力の方法","帳票出力の方法を教えて欲しい。","アドオンシートはメーカー未申請タブ→帳票出力で可能だが、まだ事前メーカー未申請の段階なのでできない。","仕様","","","","","FALSE"
"06699","2017/10/3","オーケー食品","原材料品質保証システム","(編集/バージョンアップ/取消)","原材料の取消方法について","原材料の取消はどのような流れで行うのか。マニュアルを見ると、バージョンアップをすると記載がある。","マニュアル通りバージョンアップをしていただき、アドオンシート上の取消日を入力。その後は申請のフローと同様。","仕様","","","","","FALSE"
"06700","2017/10/5","グローバルチーズ","原材料品質保証システム","調達品質情報","ネット依頼について","メーカー未申請の画面で原材料が表示されるが、次の操作はネット依頼でよいのか。また、依頼の画面をすべて埋めればいいのか。","ネット依頼準備まで終了しているのであれば、ネット依頼の操作でよい。依頼画面は、黄色い文字の項目が必須なので、最低限その項目は埋める必要がある。","仕様","","","","","FALSE"
"06701","2017/10/5","グローバルチーズ","原材料品質保証システム","調達品質情報","原料品質規格書が開かない","原料品質規格書を開くと、「マクロデータがみつかりません」というエラーになり開かない。","ネットのお知らせ画面からマクロデータファイルをダウンロードし、原料規格書と同じフォルダに保存する必要があるが、それをやっても同様のエラーになってしまうとのこと。ネットのお問い合わせとなるため、JFEへ問い合わせていただくようお願い。","仕様","","","","","FALSE"
"06706","2017/10/10","JFS","原材料品質保証システム","その他","過去に子コードとして紐づいていたか調べてほしい","親コード（330513003）に子コード（330513003）が紐づいているが、過去にこの子コードが紐づいていたかどうか調べてほしい。","調査不可能なためわからない。","仕様","","","","","FALSE"
"06712","2017/10/12","イチビキ","原材料品質保証システム","調達品質情報","依頼連携取込時にエラー","依頼連携取込時に、「データチェックエラー　MD_JZ_AD.HJKJ_DT」と表示されるが、どうすればよいか。","そのエラーは、アドオンシートの「変更実施発注開始日」が日付形式になっていないことが原因。正しい形式に直していただく。","仕様","","","","","FALSE"
"06717","2017/10/13","イチビキ","原材料品質保証システム","ログイン","ログインできない","ログインIDがわからなくなってしまった。ログインボタンにマウスを合わせても、なにも反応がなくボタンが押せない。","メルクリウスネットの問い合わせだったため、JFEの窓口をご案内。","仕様","","","","","FALSE"
"06718","2017/10/16","JFS","原材料品質保証システム","その他","引当しているベンダーを教えて欲しい","メーカーからの問合せ。引当しているベンダーを教えて欲しい。",""①きのこと鮭の五目ごはん（もち米入り） 株式会社ポオトデリカトオカツ　神戸　②もち麦ブレンド　生姜昆布と蒸し鶏 株式会社フジデリカ　鹿児島"","仕様","","","","","FALSE"
"06719","2017/10/16","川辺食品","原材料品質保証システム","調達品質情報","帳票出力時にエラー","アドオンシートの出力時に、「システムレジストリへのアクセスでエラーが発生しました」というエラーが発生する。以前は出力可能だったが、システム会社の方がPCの設定を変更したかもしれない。","上記エラーが発生する原因として、初期設定、ActiveXコントロールがインストールされていないことが考えられる。初期設定を確認したところ未設定だったため設定していただき、エラーが表示されなくなったが、保存したはずのアドオンシートを開こうとすると「ファイルのパスが違うか存在しません」というようなエラーが表示されるとのこと。ActiveXが入っていない可能性もあるため、システム会社の方と相談するということになった。","仕様","","","","","FALSE"
"06721","2017/10/16","イチビキ","原材料品質保証システム","調達品質情報","帳票出力時にエラー","アドオンシートの出力時に「メモリ不足」と表示されて出力できない。","PCの環境を変えたとのこと。初期設定が未設定だったため、設定していただいたが、設定の途中でPCが動かなくなってしまったため、タスクマネージャを出していただいた。立ち上がっているソフトがたくさんあるということなので可能な限り終了していただき、帳票出力したところ正常に出力可能となった。","仕様","","","","","FALSE"
"06727","2017/10/18","みたけ食品","原材料品質保証システム","その他","帳票出力ができない","アドオンシートを出力する際、エラーが出て出力できない。","エラーメッセージを確認しようとしたところ、90分のアカウントロックがかかりログインできなくなった。初期設定ををご案内後、90分後再度お試しいただくようにご案内。","","","","","","FALSE"
"06731","2017/10/20","共栄販売","原材料品質保証システム","その他","メルクリウスを使用するための設定","PCを新しくしたが、メルクリウスを使用するためにあらかじめなにか設定やインストールする必要はあるか。","IEの初期設定とAvtiveXコントロールのインストールが必要。設定方法はマニュアルに記載がある。","環境","","","","","FALSE"
"06736","2017/10/23","カネマツ","原材料品質保証システム","ログイン","ユーザー情報の申請方法","退職した方のID・PWをそのまま継続して使用しているが、そのIDを削除し新たに申請をする方法を教えて欲しい。","お知らせ画面よりユーザー申請書をDL、必要事項を記入後JFSへメール。","仕様","","","","","FALSE"
"06738","2017/10/23","アリアケジャパン","原材料品質保証システム","ログイン","ログインできない","ログインすると、「同じIDで他ユーザーがログインしています」というエラーが出る。他ユーザーは使用していない。","IEの「×」閉じをしてしまった可能性あり。90分間後、再ログイン。","仕様","","","","","FALSE"
"06739","2017/10/23","ロピア","原材料品質保証システム","ログイン","ログイン後、画面が真っ白","ログインして、食材ボタンを押しても画面が真っ白で正常に表示されない。","初期設定ご案内後、正常に表示されることを確認。","仕様","","","","","FALSE"
"06741","2017/10/23","山崎パン","原材料品質保証システム","調達品質情報","アドオンシート添付時にエラー","アドオンシートをネットに添付し更新すると、「商品情報と工場シートでエラーチェックを実行してください」と表示される。アドオンシートはどちらもエラーチェックを実行しており、エラーもでていない。","以前に添付したアドオンシートがあるということなので、取消をしてから添付しなおしてもエラーが発生する。ネット上の操作に関するため、JFEに問い合わせていただく。","仕様","","","","","FALSE"
"06743","2017/10/24","宝幸","原材料品質保証システム","調達品質情報","承認済の原材料に後からファイルを添付したい","承認済みの原材料に、検査結果のファイルを添付するにはどうしたらよいか。ネットではすでにファイルの添付は済んでいるので、メルクリウスで取り込むだけの状態。","最新バージョンタブにある「別添文書同期」ボタンからネットで追加したファイルをメルクリウスに取り込むことが可能。ただし新しくファイルを添付するときのみ可能で、内容を修正する場合はバージョンアップで対応していただく必要がある。","仕様","","","","","FALSE"
"06748","2017/10/25","ニチレイフレッシュ","原材料品質保証システム","ログイン","パスワード再設定のメール送信ができない","「パスワードをお忘れの方」からメール送信をすると、「メール送信に失敗しました。コールセンターへ連絡してください」と表示される。","メール送信画面で、ユーザIDを正しく入力していなかった。正しいIDの入力でメール受信できた。","仕様","","","","","FALSE"
"06750","2017/10/26","川辺食品","原材料品質保証システム","調達品質情報","添付ファイルに禁止文字","添付した産地証明書と特色ある証明書のpdfファイル名に禁止文字が含まれているようで、申請ができない。どうしたらよいか。","既に添付したファイルの名前に禁止文字があるということでスミスでは対応できないため、JFEへ問い合わせていただくようお願い。","仕様","","","","","FALSE"
"06757","2017/10/30","イチビキ","原材料品質保証システム","(編集/バージョンアップ/取消)","原材料の取消をしたい","原材料を取り消すやり方を教えてほしい。","承認済みの原材料とのことなので、バージョンアップし、アドオンシート内の取消日を入力して申請を進めていただく。","仕様","","","","","FALSE"
"06759","2017/10/30","ニチモウ","原材料品質保証システム","調達品質情報(申請/フロー)","依頼連携取込み時のエラー","依頼連携取込み時に、「取り込み結果　×　MerQNetでのステータスが操作可能な状態ではありません。 」というエラーが出る。",""本日は時間がないとのことで、明日10時ごろ折り返し予定。→10/31ＴＥＬあり。メルクリウスネットで提出していなかったことが原因。提出後、正常に取込み可能。"","仕様","","","","","FALSE"
"06763","2017/10/31","トオカツフーズ","原材料品質保証システム","ログイン","ログインできない","初めてメルクリウスを使用するが、パスワードがわからなかったので、規格書と同じパスワードでログインしてみたが入れない。パスワード再設定でメール送信してみたところ、「メール送信に失敗しました。コールセンターへ連絡してください」というメッセージが表示された。","初期設定はお済みとのことだったので、初期パスワードをご案内しログインしてみたが、ロックがかかっていた。パスワード再設定でメール送信できたので、新パスワードの設定が完了。ログインもできるようになった。","仕様","","","","","FALSE"
"06768","2017/10/31","正栄食品","原材料品質保証システム","ログイン","ログイン時のエラーについて","ログインしようとすると、「セッションエラー」というエラーが出る。","ＩＥ再起動で改善。","仕様","","","","","FALSE"
"06769","2017/10/31","ノースイ","原材料品質保証システム","調達品質情報","禁止文字エラー","依頼連携取込み時に禁止文字エラーが出る。","原料品質規格書に半角「%」使用有。全角に修正していただくようご案内。","仕様","","","","","FALSE"
"06770","2017/10/31","JFS","原材料品質保証システム","その他","引き当たっている商品を教えてほしい","ベンダーから原材料が商品に引き当たっていると言われてたが、どの商品に引き当たっているか調べてほしい。","「ベーコンのシーザーサラダ」「仮）ベーコンのシーザーサラダ」（トオカツフーズ）に引き当たっている。","仕様","","","","","FALSE"
"06771","2017/10/31","丸大食品","原材料品質保証システム","(編集/バージョンアップ/取消)","ネット依頼時のエラー","バージョンアップ後、ＮＥＴ依頼を押すと「ステータスを確認してください」というエラーが出る。","ネット依頼はすでにされている状態。","仕様","","","","","FALSE"
"06772","2017/11/1","イチビキ","原材料品質保証システム","(編集/バージョンアップ/取消)","メーカー申請時のエラー","メーカー申請時に「変更実施発注開始日を入力してください。」「別バージョンのアドオンが添付されています」というエラーが出て、できない。","アドオンシートを再出力していただき、必要事項を記入。差戻し済みのため、メルクリウスネットに依頼し、ネットで提出、メルクリウスで依頼連携取込み、メーカー申請を行っていただく。","仕様","","","","","FALSE"
"06774","2017/11/1","極洋","原材料品質保証システム","その他","単価の確認","受発注システムの温度原材料別集計表で納品日10/1～10/31で該当原材料を照会。通常発注と直納が出てくるが、１パックあたりの単価が違う。通常発注の305円/1パックが正しい。","メルクリウス上では305円で登録されている。伝票発行連絡書の単価が違う可能性あり。ＪＦＳへ問合せいただく。","ユーザー業務","","","","","FALSE"
"06777","2017/11/2","CIPS","原材料品質保証システム","ログイン","パスワードを忘れてしまった","パスワードを忘れてしまったが、どうすればよいか。",""ログイン画面から「パスワードをお忘れの方」をクリックし、パスワード再設定を行っていただく。→パスワード再設定のメール送信をしたが、メールが届かないと再度連絡があった。ナカヤマ様のユーザーIDが別にあったため、そちらで初期パスワードでログインしたところ、ログイン可能となった。"","仕様","","","","","FALSE"
"06778","2017/11/2","グローバルチーズ","原材料品質保証システム","調達品質情報","依頼連携取込時にエラー","依頼連携取込時に、「データチェックエラー　MD_JZ_ADHJHK_DT」と表示されるが、何のエラーか。","アドオンシート内の「変更実施発注開始日」が日付形式になっていないというエラー。ネットに差し戻し、該当項目を日付形式で入力しなおして、再度取込をしていただく。","仕様","","","","","FALSE"
"06779","2017/11/2","ホウコウ","原材料品質保証システム","調達品質情報","GTINコードの入力について","今後ファミリーマートの商品に使用する原材料には、GTINコードの登録が必要になったということで、コードの登録をしたいが、どの箇所で登録するのか。","GTINコードとは、バーコードのような商品識別コードのことということで、アドオンシートに「識別コード」という項目があるが、どの箇所に登録する必要があるのかは、JFSに確認していただく。","仕様","","","","","FALSE"
"06780","2017/11/2","ニチレイフレッシュ","原材料品質保証システム","(編集/バージョンアップ/取消)","工場追加をしたい","工場追加をしたいがどのようにすればよいか。今バージョンアップしてネット依頼をした。","アドオンシートを出力しなおして、工場シートに追加。ネット上でアドオンシートを差し替え、画面にも工場登録項目があるということなので、記載していただき申請を回す。","仕様","","","","","FALSE"
"06783","2017/11/7","ヤマエ食品工業","原材料品質保証システム","調達品質情報","禁止文字エラー","依頼連携取込時に禁止文字エラーが発生する。","禁止文字を使用していないか確認していただき、分からない場合は、原料規格書、アドオンシートを送っていただくことになった。","仕様","","","","","FALSE"
"06788","2017/11/9","JFS","原材料品質保証システム","調達品質情報","添付ファイルについて",""①提出欄にて「有」または「有（後日）」を選択していないと、ファイルの添付は出来ない（申請時エラーになる）認識だったが、空白で添付されている原材料がある。空白であっても添付・申請可能なのか。②この原材料は、どのような方法とタイミングで添付されたファイルなのか。"",""①提出欄の作業はネットで行う箇所のため、JFEに問い合わせていただく。（メリクリウスで取り込む際には、制御せずにデータを取り込んでいる）②履歴を確認し、特別な操作をしたわけではなく、通常通り、ネット依頼をしファイル添付していた。"","仕様","","","","","FALSE"
"06789","2017/11/9","エスフーズ","原材料品質保証システム","調達品質情報(新規作成)","原材料の新規登録の方法","原材料を新規登録するにはどうやったらいいのか。また、事前にJFSに原材料コードを所得してもらう必要があるのか。","登録の流れをご説明。原材料コードは事前に取得するのではなく、メーカー申請のタイミングで採番される。","仕様","","","","","FALSE"
"06791","2017/11/9","グローバルチーズ","原材料品質保証システム","調達品質情報(申請/フロー)","メーカー申請時にエラー","メーカー申請時に、「商品に引き当たっている」というエラーがでる。","引き当てているベンダーと商品はわかるということなので、引当解除の連絡をしていただく。","仕様","","","","","FALSE"
"06792","2017/11/9","ファミリーマート","原材料品質保証システム","調達品質情報","微生物検査の添付資料について",""メリクリウスネットで微生物検査資料を添付して提出した。その後実施することを教えてほしい。バージョン00を申請後、MerQriusNetで添付した。"","最貧バージョンタブから該当原材料を検索。チェックボックスにチェックをいれてから別添文書同期ボタンを押してもらうように案内して対応完了。","仕様","","","","","FALSE"
"06793","2017/11/9","JFS","原材料品質保証システム","調達品質情報","引き当たっているベンダーを教えてほしい","引き当たっているベンダーと商品を教えてほしい。","CD:0822527「５種チーズのマルゲリータ風パスタ」と仮表紙「仮）５種チーズのマルゲリータ風パスタ」でトオカツフーズが引き当てている。","仕様","","","","","FALSE"
"06794","2017/11/10","東京促成青果","原材料品質保証システム","ログイン","担当者を変更した場合はどうすればよいか","担当者が変更になるが、ユーザーIDはどうすればよいか。JFSからユーザー登録の申請書は送ってもらった。","担当者が変更になったら、前任の方のユーザーID削除と、後任の方のユーザーID登録の申請を提出していただくことになる。JFSから送ってもらった申請書を確認したところ、後任の方のユーザー登録が完了した内容のメールだったため、後任の方がすでにログイン可能となっていることをご説明。","仕様","","","","","FALSE"
"06795","2017/11/10","カネカサンスパイス","原材料品質保証システム","(編集/バージョンアップ/取消)","取消をしたい","原材料の取消をしたい。","バージョンアップし、取消日に日付を入れて（アドオンシート）申請を回す。","仕様","","","","","FALSE"
"06796","2017/11/13","極洋","原材料品質保証システム","その他","工場レイアウト図/自主点検表の確認方法",""①事前で工場レイアウト図と自主点検表を添付したが、どこで確認すれば良いか。②上記2点のファイルを差し替えたい場合、どのようにすれば良いか。"",""①全データもしくは最新バージョンタブで「事前：照会」から確認可能。②メーカー申請済みタブから引戻し、ＮＥＴ差戻しし、メルクリウスネットで差し替え。"","仕様","","","","","FALSE"
"06797","2017/11/13","マルハ物産","原材料品質保証システム","その他","アドオンシートの出力ができない","アドオンシートを出力しようとすると、×印が表示されて出力できない。信頼済みサイトの設定がされていなかったため、設定をして出力しようとすると画面が真っ白になってしまう。","今まで出力したことはないとのこと。初期設定はすべて設定済み。ActiveXコントロールが入っているかわからないとのことだったため、管理者権限でログインして、インストール画面が出てくるかお試しいただくことになった。→その後ご連絡がないためクローズとする。","仕様","","","","","FALSE"
"06801","2017/11/15","西京味噌","原材料品質保証システム","(編集/バージョンアップ/取消)","取消方法","バージョンアップをし、メーカー未申請タブに該当原材料が出てくるがその後の作業を教えて欲しい。",""メルクリウスネットに依頼し、アドオンシートを出力。アドオンシート上の取消日を入力し、メルクリウスネットに添付し提出。その後、メルクリウスで依頼連携取込み→メーカー申請。→その後メーカー申請の手順についての問い合わせがあったため説明（山岸）"","","","","","","FALSE"
"06805","2017/11/15","日本水産","原材料品質保証システム","調達品質情報","アドオンシートが出力できない","パソコンを新しくしてから、アドオンシートが出力できなくなった。","初期設定ご案内後、正常に出力可能。","仕様","","","","","FALSE"
"06807","2017/11/16","エスフーズ","原材料品質保証システム","食材事前情報(申請/フロー)","事前情報での書類添付のやり方","事前のメーカー申請を行ったが、書類がないということで戻されてしまった。製造工程図等添付したいが、どのようにやればよいか。","手順をご説明。","仕様","","","","","FALSE"
"06810","2017/11/16","日清製粉","原材料品質保証システム","調達品質情報","メーカー申請時にエラー","メーカー申請時にエラーが表示されるが、どこがエラーなのかわからない。","メーカー申請画面のエラーメッセージ欄に「10-1 食品添加物　使用用途名備考」は全角20文字、半角40文字以内で入力してください。」という文字数オーバーのエラーが表示されている。お客様がネットに差し戻して、文字数制限内になるよう修正して、再度提出、取込をしてみたがエラーが解消されないとのこと。原料品質規格書をメール送付していただくことになった。→ファイルを確認すると、「使用原料」シート56行目の原材料について、該当項目が文字数オーバーとなっていたため、そこを修正していただくことでエラーが解消される。","仕様","","","","","FALSE"
"06813","2017/11/17","オギワラ食品","原材料品質保証システム","(編集/バージョンアップ/取消)","バージョンアップのやり方を教えてほしい",""①バージョンアップのやり方を教えてほしい。②ネット提出済みまでやったので、その後の操作を教えてほしい。"",""①手順をご説明。②依頼連携取込、メーカー申請を行う。メーカー申請時に、「変更実施発注開始日を入力してください」「アドオンのバージョンが違う」というエラーになったため、アドオンシートを出力しなおし、該当箇所を入力し、ネットで差し替えていただく。"","仕様","","","","","FALSE"
"06815","2017/11/17","ハインツ日本","原材料品質保証システム","(編集/バージョンアップ/取消)","メーカー申請時にエラー","メーカー申請時に「違うバージョンのアドオンが添付されている」というエラーになる。","バージョンアップした際は、アドオンシートを出力、添付しなおす必要がある。","仕様","","","","","FALSE"
"06824","2017/11/20","イチビキ","原材料品質保証システム","調達品質情報(申請/フロー)","アドオンシート出力方法","アドオンシートを出力する方法","該当の原材料は現在[ＮＥＴ]依頼前タブにあるため、ＮＥＴ依頼準備をしてメーカー未申請にタブに移動した段階で帳票出力からアドオンシートを出力する。","","","","","","FALSE"
"06828","2017/11/21","日本ハム","原材料品質保証システム","ログイン","ログインできない","「同じIDで他ユーザーがログインしています」というエラーが出て、ログインできない。","90分間お待ちいただく。","仕様","","","","","FALSE"
"06830","2017/11/22","エスフーズ","原材料品質保証システム","食材事前情報(申請/フロー)","原材料の進捗について","事前メーカー申請をしたが、事前メーカー申請済みタブに原材料が出てこなくなった。","今現在AC承認待ちの状態。全データタブから確認ができることを案内。","","","","","","FALSE"
"06834","2017/11/24","朝日共販","原材料品質保証システム","(編集/バージョンアップ/取消)","バージョンアップで取消日を入れる方法","バージョンアップで取消日を入れるように言われたが、どのようにやればよいか。","手順をご説明。","","","","","","FALSE"
"06837","2017/11/27","朝日共販","原材料品質保証システム","(編集/バージョンアップ/取消)","取消の方法",""561600909/瀬戸内ちりめん(PH)バージョンアップの流れを教えて欲しい。"","手順をご案内。","仕様","","","","","FALSE"
"06839","2017/11/27","ヤマエ","原材料品質保証システム","(編集/バージョンアップ/取消)","原材料名を変更したい",""352407106/かぼす酢もつのたれ原材料名の頭に「△」をつけるよう差戻しをされた。変更方法を教えて欲しい。"","NET上の「商品名」の項目を修正していただく。その後、依頼連携取込み→メーカー申請。","仕様","","","","","FALSE"
"06843","2017/11/28","極洋","原材料品質保証システム","(編集/バージョンアップ/取消)","メーカー申請時にエラー","メーカー申請の画面で、「別バージョンのアドオンが添付されている」「変更実施発注開始日を入力してください」というエラーメッセージが表示される。","バージョンアップしたときは、アドオンシートを出力しなおし、変更実施発注開始日を入力して、ネットで差し替える必要がある。","仕様","","","","","FALSE"
"06844","2017/11/28","サンキョーヒカリ","原材料品質保証システム","食材事前情報(一覧検索)","新規登録のやり方","原材料の新規登録のやり方を教えてほしい。","事前メーカー未申請画面の新規登録ボタンを押し、原材料名を登録。その後内容の入力をし、事前メーカー未申請をしていただく。","仕様","","","","","FALSE"
"06845","2017/11/28","ハウス食品","原材料品質保証システム","その他","対応ＯＳについて","Windows10は対応しているか。","推奨環境ではない。","環境","","","","","FALSE"
"06846","2017/11/28","ハウス食品","その他","その他","サンプル受発注について","Windows10は対応しているか。",""JFSへお問合せいただくよう案内したが、JFSよりスミスに確認するように言われたとのこと。山越さんに確認したところ、動作保証外とのことだったのでその旨お伝え。"","ユーザー業務","","","","","FALSE"
"06847","2017/11/28","エスフーズ","原材料品質保証システム","調達品質情報(申請/フロー)","アクセス承認後の作業について","アクセスの承認まで進捗が進んだが、その後はどのように進めれば良いか。","手順をご案内。","仕様","","","","","FALSE"
"06848","2017/11/28","TFシード","原材料品質保証システム","会社マスタ、ユーザーマスタ","ユーザー登録について","担当者変更があるが、ユーザーIDはどのように変えればよいのか。","担当から外れる方のIDの削除、新しい担当者の新規登録の申請書をJFSに提出していただく。","仕様","","","","","FALSE"
"06849","2017/11/29","JFS","原材料品質保証システム","その他","エラーが発生する","メーカー様より連絡があり、「規格書の起源原料がありません」というようなエラーメッセージが表示されているとのこと。このエラーはどこのことか。","メルクリウスネットの原料規格書に「起源原料」の項目があるので、それについてのエラーの可能性があるとお伝えしたところ、JFEに問い合わせてみるとのこと。","仕様","","","","","FALSE"
"06851","2017/12/1","エスフーズ","原材料品質保証システム","調達品質情報","ネット提出後の操作について","ネットで提出まで済んだがその後の操作を教えてほしい。","依頼連携取込、メーカー申請へと続く。依頼連携取込をやっていただいたところ、「原材料名は全角にしてください」というエラーになったため、ネットに戻り、商品名を半角から全角に修正していただくようご説明。","仕様","","","","","FALSE"
